Classe::MUG204_09	MUG204;00009;4.0;4.0;0;bruj;P307;Gr209

MetaClasse::ART3A	Cycle_unique2;ART302_11;ECR343_11;ECR343_12;ECR343_21;ECR343_22;MUA302_11;MUG302_21;MUG302_22
Classe::ART302_11	ART302;00011;4.0;2.0;1;wilj;nil;Gr301,Gr302,Gr303,Gr304
Classe::ECR343_11	ECR343;00011;4.0;2.0;1;desl;nil;Gr301,Gr302,Gr303,Gr304
Classe::ECR343_12	ECR343;00012;4.0;2.0;1;beas;nil;Gr301,Gr302,Gr303,Gr304
Classe::ECR343_21	ECR343;00021;4.0;2.0;2;desl;nil;Gr301,Gr302,Gr303,Gr304
Classe::ECR343_22	ECR343;00022;4.0;2.0;2;perj;nil;Gr301,Gr302,Gr303,Gr304
Classe::MUA302_11	MUA302;00011;4.0;2.0;1;bruj;B108;Gr301,Gr302,Gr303,Gr304
Classe::MUG302_21	MUG302;00021;4.0;2.0;2;perj;nil;Gr301,Gr302,Gr303,Gr304
Classe::MUG302_22	MUG302;00022;4.0;2.0;2;bruj;nil;Gr301,Gr302,Gr303,Gr304

MetaClasse::ART3B	Cycle_unique2;ART302_22;ECR343_13;ECR343_23;MUG302_12
Classe::ART302_22	ART302;00022;4.0;2.0;2;wilj;B016;Gr305,Gr306
Classe::ECR343_13	ECR343;00013;4.0;2.0;1;desl;nil;Gr305,Gr306
Classe::ECR343_23	ECR343;00023;4.0;2.0;2;desl;nil;Gr305,Gr306
Classe::MUG302_12	MUG302;00012;4.0;2.0;1;perj;nil;Gr305,Gr306

MetaClasse::ART3C	Cycle_unique2;ART302_14;ART302_24;ECR343_14;ECR343_24;MUG302_13;MUG302_23
Classe::ART302_14	ART302;00014;4.0;2.0;1;wilj;nil;Gr309,Gr310
Classe::ART302_24	ART302;00024;4.0;2.0;2;wilj;nil;Gr309,Gr310
Classe::ECR343_14	ECR343;00014;4.0;2.0;1;desl;nil;Gr307,Gr308
Classe::ECR343_24	ECR343;00024;4.0;2.0;2;desl;nil;Gr307,Gr308
Classe::MUG302_13	MUG302;00013;4.0;2.0;1;perj;nil;Gr307,Gr308
Classe::MUG302_23	MUG302;00023;4.0;2.0;2;perj;nil;Gr307,Gr308

MetaClasse::ART3D	Cycle_unique2;ECR343_15;ECR343_25;MUA302_23;MUG302_14
Classe::ECR343_15	ECR343;00015;4.0;2.0;1;desl;nil;Gr309,Gr310
Classe::ECR343_25	ECR343;00025;4.0;2.0;2;desl;nil;Gr309,Gr310
Classe::MUA302_23	MUA302;00023;4.0;2.0;2;bruj;B108;Gr307,Gr308
Classe::MUG302_14	MUG302;00014;4.0;2.0;1;perj;nil;Gr309,Gr310

MetaClasse::ART4A	Cycle_unique2;ART402_11;ART402_21;CBO402_21;DAN402_11;DRA402_11;DRA402_21;ECR404_11;ECR404_12;ECR404_21;ECR404_22;GTR402_11
Classe::ART402_11	ART402;00011;5.0;2.5;1;wilj;nil;Gr41,Gr42,Gr43,Gr44
Classe::ART402_21	ART402;00021;5.0;2.5;2;wilj;B016;Gr41,Gr42,Gr43,Gr44
Classe::CBO402_21	CBO402;00021;5.0;2.5;2;simc;E03;Gr41,Gr42,Gr43,Gr44
Classe::DAN402_11	DAN402;00011;5.0;2.5;1;eths;Pales;Gr41,Gr42,Gr43,Gr44
