Classe::CBO502_11	CBO502;00011;4.0;2.0;1;simc;I108;Gr51,Gr52,Gr53,Gr54
Classe::DRA502_11	DRA502;00011;4.0;2.0;1;dumm;B204;Gr51,Gr52,Gr53,Gr54
Classe::DRA502_21	DRA502;00021;4.0;2.0;2;dumm;B204;Gr51,Gr52,Gr53,Gr54
Classe::ECR502_11	ECR502;00011;4.0;2.0;1;chee;C206;Gr51,Gr52,Gr53,Gr54
Classe::ECR502_12	ECR502;00012;4.0;2.0;1;beas;C104;Gr51,Gr52,Gr53,Gr54
Classe::ECR502_21	ECR502;00021;4.0;2.0;2;chee;C206;Gr51,Gr52,Gr53,Gr54
Classe::ECR502_22	ECR502;00022;4.0;2.0;2;beas;C104;Gr51,Gr52,Gr53,Gr54
Classe::GTR502_11	GTR502;00011;4.0;2.0;1;bruj;B108;Gr51,Gr52,Gr53,Gr54

MetaClasse::ART5C	Cycle2;ART502_13;ART502_23;DRA502_13;DRA502_23;ECR502_14;ECR502_15;ECR502_24;ECR502_25
Classe::ART502_13	ART502;00013;4.0;2.0;1;wilj;B016;Gr57,Gr58,Gr59
Classe::ART502_23	ART502;00023;4.0;2.0;2;wilj;B016;Gr57,Gr58,Gr59
Classe::DRA502_13	DRA502;00013;4.0;2.0;1;dumm;B204;Gr57,Gr58,Gr59
Classe::DRA502_23	DRA502;00023;4.0;2.0;2;dumm;B204;Gr57,Gr58,Gr59
Classe::ECR502_14	ECR502;00014;4.0;2.0;1;beas;C104;Gr57,Gr58,Gr59
Classe::ECR502_15	ECR502;00015;4.0;2.0;1;chee;C206;Gr57,Gr58,Gr59
Classe::ECR502_24	ECR502;00024;4.0;2.0;2;beas;C104;Gr57,Gr58,Gr59
Classe::ECR502_25	ECR502;00025;4.0;2.0;2;chee;C206;Gr57,Gr58,Gr59

MetaClasse::CHI52	Cycle2;CHI504_52
Classe::CHI504_52	CHI504;00052;5.0;5.0;0;ayon;LaboChi;Gr52

MetaClasse::CHI54	Cycle2;CHI504_54
Classe::CHI504_54	CHI504;00054;5.0;5.0;0;ayon;LaboChi;Gr54

MetaClasse::CHI55	Cycle2;CHI504_55
Classe::CHI504_55	CHI504;00055;5.0;5.0;0;ayon;LaboChi;Gr55

MetaClasse::CHI56	Cycle2;CHI504_56
Classe::CHI504_56	CHI504;00056;5.0;5.0;0;frem;LaboChi;Gr56

MetaClasse::ECR21	Cycle1;ECR202_21
Classe::ECR202_21	ECR202;00021;2.0;2.0;0;chod;nil;Gr21

MetaClasse::ECR22	Cycle1;ECR202_22
Classe::ECR202_22	ECR202;00022;2.0;2.0;0;chod;nil;Gr22

MetaClasse::ECR23	Cycle1;ECR202_23
Classe::ECR202_23	ECR202;00023;2.0;2.0;0;chod;nil;Gr23

MetaClasse::ECR24	Cycle1;ECR202_24
