Classe::SCT204_25	SCT204;00025;4.0;4.0;0;alid;K102;Gr25

MetaClasse::SCT26	Cycle1;SCT204_26
Classe::SCT204_26	SCT204;00026;4.0;4.0;0;blam;K102;Gr26

MetaClasse::SCT27	Cycle1;SCT204_27
Classe::SCT204_27	SCT204;00027;4.0;4.0;0;alid;K102;Gr27

MetaClasse::SCT28	Cycle1;SCT204_28
Classe::SCT204_28	SCT204;00028;4.0;4.0;0;alid;K102;Gr28

MetaClasse::SCT29	Cycle1;SCT204_29
Classe::SCT204_29	SCT204;00029;4.0;4.0;0;alid;K102;Gr29

MetaClasse::SCT31	Cycle2;SCT306_31
Classe::SCT306_31	SCT306;00031;7.0;7.0;0;vaia;C03;Gr31

MetaClasse::SCT32	Cycle2;SCT306_32
Classe::SCT306_32	SCT306;00032;7.0;7.0;0;vaia;C03;Gr32

MetaClasse::SCT33	Cycle2;SCT306_33
Classe::SCT306_33	SCT306;00033;7.0;7.0;0;vaia;C04;Gr33

MetaClasse::SCT34	Cycle2;SCT306_34
Classe::SCT306_34	SCT306;00034;7.0;7.0;0;gagd;C03;Gr34

MetaClasse::SCT35	Cycle2;SCT306_35
Classe::SCT306_35	SCT306;00035;7.0;7.0;0;gagd;C03;Gr35

MetaClasse::SCT36	Cycle2;SCT306_36
Classe::SCT306_36	SCT306;00036;7.0;7.0;0;lapl;C04;Gr36

MetaClasse::SCT37	Cycle2;SCT306_37
Classe::SCT306_37	SCT306;00037;7.0;7.0;0;vaia;C04;Gr37

MetaClasse::SCT38	Cycle2;SCT306_38
Classe::SCT306_38	SCT306;00038;7.0;7.0;0;gagd;C03;Gr38

MetaClasse::SCT39	Cycle2;SCT306_39
Classe::SCT306_39	SCT306;00039;7.0;7.0;0;lapl;C04;Gr39

MetaClasse::SCT41	Cycle2;SCT404_41
Classe::SCT404_41	SCT404;00041;8.0;8.0;0;savm;B14;Gr41

MetaClasse::SCT42	Cycle2;SCT404E_42
Classe::SCT404E_42	SCT404E;00042;7.0;7.0;0;savm;B14;Gr42

MetaClasse::SCT43	Cycle2;SCT404_43
Classe::SCT404_43	SCT404;00043;8.0;8.0;0;boum;B18;Gr43

MetaClasse::SCT44	Cycle2;SCT404E_44
Classe::SCT404E_44	SCT404E;00044;7.0;7.0;0;savm;B14;Gr44

MetaClasse::SCT45	Cycle2;SCT404_45
Classe::SCT404_45	SCT404;00045;8.0;8.0;0;frem;B18;Gr45

MetaClasse::SCT46	Cycle2;SCT404E_46
Classe::SCT404E_46	SCT404E;00046;7.0;7.0;0;savm;B14;Gr46

MetaClasse::SCT47	Cycle2;SCT404_47
Classe::SCT404_47	SCT404;00047;8.0;8.0;0;frem;B14;Gr47

MetaClasse::SCT48	Cycle2;SCT404_48;SCT404_00
Classe::SCT404_48	SCT404;00048;8.0;8.0;0;boum;B18;Gr48
Classe::SCT404_00	SCT404;00000;8.0;8.0;0;lapl;B18;Gr48

MetaClasse::SCT49	Cycle2;SCT404_49
Classe::SCT404_49	SCT404;00049;8.0;8.0;0;boum;B18;Gr49

MetaClasse::TMS52	Cycle2;TMS542_52
Classe::TMS542_52	TMS542;00052;2.0;2.0;0;boum;nil;Gr52

MetaClasse::TMS54	Cycle2;TMS542_54
Classe::TMS542_54	TMS542;00054;2.0;2.0;0;alid;nil;Gr54

MetaClasse::TMS56	Cycle2;TMS542_56
Classe::TMS542_56	TMS542;00056;2.0;2.0;0;boum;nil;Gr56

MetaClasse::ART101	Cycle1;ART104_101
Classe::ART104_101	ART104;00101;3.0;3.0;0;robip;I113;Gr101

MetaClasse::ART104	Cycle1;ART104_104
Classe::ART104_104	ART104;00104;3.0;3.0;0;robip;I113;Gr104

MetaClasse::ART110	Cycle1;ART104_110
Classe::ART104_110	ART104;00110;3.0;3.0;0;robip;I113;Gr110

MetaClasse::ART111	Cycle1;ART104_111
Classe::ART104_111	ART104;00111;3.0;3.0;0;robip;I113;Gr111

MetaClasse::FRA105X	Cycle1;FRA100x_105
Classe::FRA100x_105	FRA100x;00105;1.0;1.0;0;arsm;nil;Gr105

MetaClasse::GEO101	Cycle1;GEO103_101
Classe::GEO103_101	GEO103;00101;3.0;3.0;0;dams;P208;Gr101

MetaClasse::GEO104	Cycle1;GEO103E_104
Classe::GEO103E_104	GEO103E;00104;3.0;3.0;0;degf;nil;Gr104

MetaClasse::MAT103	Cycle1;MAT106_103
Classe::MAT106_103	MAT106;00103;7.0;7.0;0;favg;nil;Gr103

MetaClasse::SCT101	Cycle1;SCT104_101
Classe::SCT104_101	SCT104;00101;4.0;4.0;0;orif;I102;Gr101

#~ MetaClasse::SCT102	Cycle1;SCT104_102
#~ Classe::SCT104_102	SCT104;00102;4.0;4.0;0;dumi;I102;Gr102

MetaClasse::SCT102	Cycle1;SCT104_102
Classe::SCT104_102	SCT104;00102;3.0;3.0;0;dumi;I102;Gr102

MetaClasse::SCT102X	Cycle1;SCT104x_102
Classe::SCT104x_102	SCT104x;00102;1.0;1.0;0;dumi;I101;Gr102

MetaClasse::SCT103	Cycle1;SCT104_103
Classe::SCT104_103	SCT104;00103;4.0;4.0;0;orif;I102;Gr103

#~ MetaClasse::SCT104	Cycle1;SCT104_104
#~ Classe::SCT104_104	SCT104;00104;4.0;4.0;0;dumi;I102;Gr104

MetaClasse::SCT104	Cycle1;SCT104_104
Classe::SCT104_104	SCT104;00104;3.0;3.0;0;dumi;I102;Gr104

MetaClasse::SCT104X	Cycle1;SCT104x_104
Classe::SCT104x_104	SCT104x;00104;1.0;1.0;0;dumi;I101;Gr104

MetaClasse::SCT105	Cycle1;SCT104_105
Classe::SCT104_105	SCT104;00105;4.0;4.0;0;orif;I102;Gr105

#~ MetaClasse::SCT106	Cycle1;SCT104_106
#~ Classe::SCT104_106	SCT104;00106;4.0;4.0;0;dumi;I102;Gr106

MetaClasse::SCT106	Cycle1;SCT104_106
Classe::SCT104_106	SCT104;00106;3.0;3.0;0;dumi;I102;Gr106

MetaClasse::SCT106X	Cycle1;SCT104x_106
Classe::SCT104x_106	SCT104x;00106;1.0;1.0;0;dumi;I101;Gr106

MetaClasse::SCT107	Cycle1;SCT104_107
Classe::SCT104_107	SCT104;00107;4.0;4.0;0;orif;I102;Gr107

#~ MetaClasse::SCT108	Cycle1;SCT104_108
#~ Classe::SCT104_108	SCT104;00108;4.0;4.0;0;dumi;I102;Gr108

MetaClasse::SCT108	Cycle1;SCT104_108
Classe::SCT104_108	SCT104;00108;3.0;3.0;0;dumi;I102;Gr108

MetaClasse::SCT108X	Cycle1;SCT104x_108
Classe::SCT104x_108	SCT104x;00108;1.0;1.0;0;dumi;I101;Gr108

MetaClasse::SCT109	Cycle1;SCT104_109
Classe::SCT104_109	SCT104;00109;4.0;4.0;0;orif;I102;Gr109

MetaClasse::ANG1E	Cycle1;EESL104_09;ESL104_09
Classe::EESL104_09	EESL104;00009;5.0;5.0;0;derg;nil;Gr109,Gr110
Classe::ESL104_09	ESL104;00009;5.0;5.0;0;hari;nil;Gr109,Gr110

MetaClasse::EPS1A	Cycle1;EPS102_01;EPS102_02;EPS102_03;EPS102_04
Classe::EPS102_01	EPS102;00001;3.0;3.0;0;angm;Pisc;Gr101,Gr102,Gr103,Gr104
Classe::EPS102_02	EPS102;00002;3.0;3.0;0;brije;GymOra;Gr101,Gr102,Gr103,Gr104
Classe::EPS102_03	EPS102;00003;3.0;3.0;0;prog;GymBleu;Gr101,Gr102,Gr103,Gr104
Classe::EPS102_04	EPS102;00004;3.0;3.0;0;pela;GymVert;Gr101,Gr102,Gr103,Gr104

MetaClasse::ESP108	Cycle1;ESP142_108
Classe::ESP142_108	ESP142;00108;3.0;3.0;0;zelg;P8;Gr108

MetaClasse::ECR110	Cycle1;ECR102_110
Classe::ECR102_110	ECR102;00110;2.0;2.0;0;perj;nil;Gr110

MetaClasse::ECR111	Cycle1;ECR102_111
Classe::ECR102_111	ECR102;00111;2.0;2.0;0;perj;nil;Gr111

MetaClasse::FRA110X	Cycle1;FRA100x_110
Classe::FRA100x_110	FRA100x;00110;1.0;1.0;0;belp;G303;Gr110

MetaClasse::FRA110	Cycle1;FRA108_110
Classe::FRA108_110	FRA108;00110;8.0;8.0;0;belp;G303;Gr110

MetaClasse::FRA111	Cycle1;FRA108_111
Classe::FRA108_111	FRA108;00111;8.0;8.0;0;maro;G301;Gr111

MetaClasse::GEO111	Cycle1;GEO103_111
Classe::GEO103_111	GEO103;00111;3.0;3.0;0;dams;P208;Gr111

MetaClasse::GEO110	Cycle1;GEO103_110
Classe::GEO103_110	GEO103;00110;3.0;3.0;0;dams;P208;Gr110

MetaClasse::HISGEO110	Cycle1;GEO103x_110;HIS103x_110
Classe::GEO103x_110	GEO103x;00110;1.0;0.5;0;dams;P208;Gr110
Classe::HIS103x_110	HIS103x;00110;1.0;0.5;0;kilm;G203;Gr110

MetaClasse::HISGEO111	Cycle1;GEO103x_111;HIS103x_111
Classe::GEO103x_111	GEO103x;00111;1.0;0.5;0;dams;P208;Gr111
Classe::HIS103x_111	HIS103x;00111;1.0;0.5;0;kilm;G203;Gr111

MetaClasse::HIS111	Cycle1;HIS103_111
Classe::HIS103_111	HIS103;00111;3.0;3.0;0;kilm;G203;Gr111

MetaClasse::HIS110	Cycle1;HIS103_110
Classe::HIS103_110	HIS103;00110;3.0;3.0;0;kilm;G203;Gr110

MetaClasse::MAT110	Cycle1;MAT106_110
Classe::MAT106_110	MAT106;00110;7.0;7.0;0;favg;nil;Gr110

MetaClasse::MAT111	Cycle1;MAT106_111
Classe::MAT106_111	MAT106;00111;7.0;7.0;0;blam;nil;Gr111

MetaClasse::SCT111	Cycle1;SCT104_111
Classe::SCT104_111	SCT104;00111;4.0;4.0;0;orif;I102;Gr111

MetaClasse::SCT110	Cycle1;SCT104_110
Classe::SCT104_110	SCT104;00110;4.0;4.0;0;orif;I102;Gr110

MetaClasse::PHY57	Cycle2;PHY504_57
Classe::PHY504_57	PHY504;00057;5.0;5.0;0;begp;LaboPhy;Gr57

MetaClasse::CHI57	Cycle2;CHI57
Classe::CHI57	CHI504;00057;5.0;5.0;0;ayon;LaboChi;Gr57

MetaClasse::FRA111X	Cycle1;FRA100x_111
Classe::FRA100x_111	FRA100x;00111;1.0;1.0;0;maro;G301;Gr111

MetaClasse::EPS5C_45	Cycle2;EPS402_15;EPS502_07;EPS502_08;EPS502_09
Classe::EPS402_15	EPS402;00005;1.0;1.0;0;robep;GymOra;Gr45,Gr57,Gr58,Gr59
Classe::EPS502_07	EPS502;00007;1.0;1.0;0;angm;Pisc;Gr45,Gr57,Gr58,Gr59
Classe::EPS502_08	EPS502;00008;1.0;1.0;0;chal;GymVert;Gr45,Gr57,Gr58,Gr59
Classe::EPS502_09	EPS502;00009;1.0;1.0;0;desms;GymBleu;Gr45,Gr57,Gr58,Gr59
